outcome,threshold,prevalence,net_benefit_model,net_benefit_screen_all,net_benefit_screen_none,net_benefit_model_minus_all,net_benefit_model_minus_none,standardized_net_benefit_model
victimization,0.17,0.49363057324840764,0.3899163533113345,0.3899163533113345,0.0,0.0,0.3899163533113345,0.7898950641274777
victimization,0.18,0.49363057324840764,0.38247630883952155,0.38247630883952155,0.0,0.0,0.38247630883952155,0.774822974036192
victimization,0.19,0.49363057324840764,0.3748525595659354,0.3748525595659354,0.0,0.0,0.3748525595659354,0.759378733572282
victimization,0.2,0.49363057324840764,0.36703821656050956,0.36703821656050956,0.0,0.0,0.36703821656050956,0.7435483870967742
victimization,0.21,0.49363057324840764,0.35902604208659195,0.35902604208659195,0.0,0.0,0.35902604208659195,0.7273172723560637
victimization,0.22,0.49363057324840764,0.35080842724154826,0.35080842724154826,0.0,0.0,0.35080842724154826,0.7106699751861042
victimization,0.23,0.49363057324840764,0.3423773678550749,0.3423773678550749,0.0,0.0,0.3423773678550749,0.693590280687055
victimization,0.24,0.49363057324840764,0.3337244384847469,0.3337244384847469,0.0,0.0,0.3337244384847469,0.6760611205432938
victimization,0.25,0.49363057324840764,0.32484076433121023,0.32484076433121023,0.0,0.0,0.32484076433121023,0.6580645161290324
victimization,0.26,0.49363057324840764,0.3157169908762265,0.3157169908762265,0.0,0.0,0.3157169908762265,0.6395815170008717
victimization,0.27,0.49363057324840764,0.3063432510252159,0.3063432510252159,0.0,0.0,0.3063432510252159,0.6205921343349535
victimization,0.28,0.49363057324840764,0.29670912951167727,0.29670912951167727,0.0,0.0,0.29670912951167727,0.6010752688172043
victimization,0.29,0.49363057324840764,0.2868036242935319,0.2868036242935319,0.0,0.0,0.2868036242935319,0.5810086324398
victimization,0.3,0.49363057324840764,0.28025477707006374,0.27661510464058237,0.0,0.0036396724294813776,0.28025477707006374,0.5677419354838711
victimization,0.31,0.49363057324840764,0.2730237853472415,0.26613126557740235,0.0,0.006892519769839123,0.2730237853472415,0.5530933458002182
victimization,0.32,0.49363057324840764,0.2655801173972774,0.25533907830648184,0.0,0.010241039090795545,0.2655801173972774,0.5380139152435167
victimization,0.33,0.49363057324840764,0.2579142504040308,0.24422473619165316,0.0,0.013689514212377657,0.2579142504040308,0.5224843524313915
victimization,0.34,0.49363057324840764,0.2500160844109889,0.2327735958309206,0.0,0.01724248858006827,0.2500160844109889,0.5064841968067775
